time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-01T01:02:21.630Z,19.3906669616699,-155.257659912109,0.270000010728836,1.93,ml,23,50,0.00789,0.270000011,hv,hv74202102,2024-05-01T01:05:00.740Z,"6 km SSW of Volcano, Hawaii",earthquake,0.21,0.219999999,0.21,12,automatic,hv,hv
2024-05-01T01:00:53.100Z,33.2263336,-116.6121674,14.51,1.31,ml,49,38,0.04001,0.19,ci,ci40734368,2024-05-01T01:11:36.180Z,"6 km SSE of Warner Springs, CA",earthquake,0.23,0.73,0.247,28,automatic,ci,ci
2024-05-01T00:50:40.670Z,19.2453327178955,-155.397338867188,28.1800003051758,1.91999996,md,39,135,0.08829,0.140000001,hv,hv74202057,2024-05-01T00:52:30.140Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.5,0.699999988,0.219999999,7,automatic,hv,hv
2024-05-01T00:38:13.112Z,60.8078,-146.8709,28.5,1.7,ml,,,,0.14,ak,ak0245lrsigv,2024-05-01T00:39:23.009Z,"12 km WSW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-05-01T00:35:59.213Z,36.16,-115.289,1.2,1.4,ml,8,272.91,0.361,0.5425,nn,nn00877040,2024-05-01T00:39:19.864Z,"6 km NE of Summerlin South, Nevada",earthquake,,53.6,0.28,7,automatic,nn,nn
2024-05-01T00:30:47.808Z,59.9744,-139.4934,0.5,1.8,ml,,,,0.67,ak,ak0245lrqvf0,2024-05-01T00:32:55.808Z,"49 km NNE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-05-01T00:24:30.010Z,19.1753330230713,-155.505172729492,35.7999992370605,2.29999995,md,32,103,0.04527,0.129999995,hv,hv74202002,2024-05-01T00:26:07.980Z,"4 km SW of Pāhala, Hawaii",earthquake,0.59,0.870000005,0.119999997,4,automatic,hv,hv
2024-05-01T00:22:15.970Z,33.1826667,-115.6098333,2.07,2.4,ml,58,43,0.007111,0.23,ci,ci40734352,2024-05-01T00:35:29.074Z,"11 km SW of Niland, CA",earthquake,0.17,0.15,0.208,26,automatic,ci,ci
2024-05-01T00:09:03.760Z,19.3885,-155.245,1.73,1.03,ml,21,63,0.006658,0.1,hv,hv74201967,2024-05-01T03:12:23.360Z,"6 km S of Volcano, Hawaii",earthquake,0.18,0.18,0.171273499813583,7,reviewed,hv,hv
2024-05-01T00:05:36.580Z,19.3625,-155.2835,0.74,1.29,md,20,68,0.02096,0.09,hv,hv74201957,2024-05-01T03:27:19.495Z,"10 km SSW of Volcano, Hawaii",earthquake,0.18,0.28,0.151760137912497,17,reviewed,hv,hv
2024-05-01T00:05:22.560Z,19.3643333333333,-155.2845,0.68,1.4,md,15,88,0.02113,0.07,hv,hv74201952,2024-05-01T03:37:11.550Z,"10 km SSW of Volcano, Hawaii",earthquake,0.16,0.21,0.190230252101266,13,reviewed,hv,hv
2024-04-30T23:59:25.740Z,39.4641685,-122.9863358,0.08,2.36,md,25,86,0.1422,0.2,nc,nc74043561,2024-05-01T00:00:59.193Z,"7 km NNW of Lake Pillsbury, CA",earthquake,0.45,12.41,0.15,23,automatic,nc,nc
2024-04-30T23:56:28.264Z,63.0755,-150.4949,35.4,1.2,ml,,,,1.18,ak,ak0245ki20y2,2024-04-30T23:59:15.638Z,"66 km NNE of Petersville, Alaska",earthquake,,22.9,,,automatic,ak,ak
2024-04-30T23:52:55.126Z,31.645,-104.588,3.1685,1.6,ml,18,189,0.1,0.3,tx,tx2024inbq,2024-05-01T00:26:56.461Z,"62 km SSW of Whites City, New Mexico",earthquake,0,1.72305666882471,0.1,14,automatic,tx,tx
2024-04-30T23:42:39.323Z,40.7003,-74.7597,6.804,1.9,ml,14,66,0.005,0.21,us,us6000mvcr,2024-05-01T05:08:36.973Z,"6 km ESE of Califon, New Jersey",earthquake,1.21,1.739,0.091,16,reviewed,us,us
2024-04-30T23:41:32.410Z,33.1815,-115.6066667,2.69,1.96,ml,48,43,0.008531,0.22,ci,ci40734336,2024-04-30T23:48:01.263Z,"10 km SW of Niland, CA",earthquake,0.2,0.29,0.179,27,automatic,ci,ci
2024-04-30T23:36:27.270Z,19.2113342285156,-155.49983215332,29.5,2.23,ml,27,112,0.06607,0.189999998,hv,hv74201882,2024-04-30T23:39:05.180Z,"2 km WNW of Pāhala, Hawaii",earthquake,0.78,1.12,0.2,5,automatic,hv,hv
2024-04-30T23:35:58.145Z,60.4855,-149.4716,26.5,1.3,ml,,,,0.44,ak,ak0245khxl7q,2024-04-30T23:37:48.830Z,"5 km W of Moose Pass, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-04-30T23:22:50.010Z,35.0326667,-117.6763333,-0.81,1.45,ml,30,75,0.09941,0.19,ci,ci40734320,2024-04-30T23:29:45.527Z,"4 km NNW of Boron, CA",earthquake,0.32,0.68,0.118,29,automatic,ci,ci
2024-04-30T23:20:24.890Z,32.8028333,-115.5735,11.94,1.45,ml,25,71,0.05474,0.23,ci,ci40734312,2024-04-30T23:29:44.526Z,"2 km NW of El Centro, CA",earthquake,0.38,0.49,0.427,20,automatic,ci,ci
2024-04-30T23:04:28.290Z,38.8233337,-122.7666702,2.07,1.04,md,11,115,0.007564,0.03,nc,nc74043546,2024-04-30T23:06:03.506Z,"4 km W of Cobb, CA",earthquake,0.52,0.73,0.28,14,automatic,nc,nc
2024-04-30T22:49:14.659Z,64.2111,-146.1131,7,1.3,ml,,,,0.56,ak,ak0245khf2a1,2024-04-30T22:51:07.606Z,"11 km WNW of Whitestone, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-04-30T22:44:47.290Z,19.38,-155.235666666667,1.9,1.38,md,22,77,0.007918,0.1,hv,hv74201727,2024-05-01T00:22:08.800Z,"6 km S of Volcano, Hawaii",earthquake,0.26,0.19,0.181746163922675,19,reviewed,hv,hv
2024-04-30T22:25:24.690Z,56.7782,-155.0248,81.5,1.5,ml,,,,0.99,ak,ak0245kh9y41,2024-04-30T22:36:44.362Z,"55 km WSW of Akhiok, Alaska",earthquake,,3.7,,,automatic,ak,ak
2024-04-30T22:23:32.571Z,51.9047,-171.4774,35,3.6,mb,41,213,1.392,1.12,us,us6000mvc6,2024-04-30T23:58:51.372Z,"189 km E of Atka, Alaska",earthquake,10.82,2.017,0.105,23,reviewed,us,us
2024-04-30T22:15:59.050Z,19.4034996032715,-155.283828735352,4.48999977111816,2.38000011,md,12,83,0.01256,0.300000012,hv,hv74201642,2024-04-30T22:17:41.970Z,"6 km SW of Volcano, Hawaii",earthquake,1.11,0.670000017,0.280000001,11,automatic,hv,hv
2024-04-30T22:02:24.390Z,19.4316666666667,-155.326666666667,-0.14,1.18,md,13,276,0.03516,0.18,hv,hv74201607,2024-04-30T22:46:06.410Z,"9 km W of Volcano, Hawaii",earthquake,0.37,0.33,0.145622503245973,21,reviewed,hv,hv
2024-04-30T21:55:14.180Z,19.3793334960938,-155.178665161133,2.77999997138977,2.25,ml,10,322,0.0666,0.25999999,hv,hv74201587,2024-04-30T21:57:53.060Z,"9 km SE of Volcano, Hawaii",earthquake,2.54,5.86999989,0.39,8,automatic,hv,hv
2024-04-30T21:30:57.794Z,62.1131,-150.0015,20,1.1,ml,,,,0.22,ak,ak0245kgpneb,2024-04-30T21:33:17.990Z,"9 km SW of Susitna North, Alaska",earthquake,,1.7,,,automatic,ak,ak
2024-04-30T21:30:19.140Z,33.8203333,-117.6331667,4.22,1.13,ml,18,102,0.03204,0.14,ci,ci40734240,2024-04-30T21:36:34.876Z,"8 km SW of Corona, CA",earthquake,0.23,0.35,0.349,31,automatic,ci,ci
2024-04-30T21:12:04.620Z,33.8168333,-117.6341667,3.53,1.3,ml,13,157,0.02997,0.14,ci,ci40734232,2024-04-30T21:18:48.479Z,"8 km SW of Corona, CA",earthquake,0.35,0.5,0.459,24,automatic,ci,ci
2024-04-30T21:11:16.590Z,19.378,-155.234666666667,1.72,1.36,md,12,128,0.007134,0.07,hv,hv74201482,2024-05-01T00:25:43.650Z,"7 km S of Volcano, Hawaii",earthquake,0.45,0.21,0.223863631806488,13,reviewed,hv,hv
